asset_id,profile,width,height,sha256,nonwhite_ratio,grayscale,repeat_equal
s-01,canonical,1200,800,bba57cfc1ded0cacdb905a35f241a9eb6412dc98d8c7be8ae9bb9838dac591a6,0.132052,true,true
s-01,phone,360,240,58011e87a88e2dd92880175314be761b79c66b08112bd6dc2ebf9c010e297824,0.154931,true,true
s-01,print,1800,1200,cf42ac5eab79fc0d5f534a9b1be97756403c492a1d68be07d37e48f9b6f32904,0.126798,true,true
s-02,canonical,1200,800,b83eeabe83ddcfd50ab157b2ad9e4437d85ad650f830bdbc73baf180826b3b19,0.143601,true,true
s-02,phone,360,240,6c7f873baedd7ce49a9b23784d42660e9142518abef77aa7ab1f21e9922eb8db,0.175856,true,true
s-02,print,1800,1200,a72554c0de6dfa21d944d1e6919b3b437ac0c0944791c4acfda985926d1a1560,0.138887,true,true
s-03,canonical,1200,800,b0e62718c3e91aa90222dd63b1b04bc53b22b6efb7e4c02d014b51d6974badc4,0.088446,true,true
s-03,phone,360,240,42ff66f6c29c68d8a33e42fcbf399a7c3fe8ef95d3b9620fcaae3f10aa8768f6,0.115301,true,true
s-03,print,1800,1200,630701c266dbb0c50da9e212b5c2bad4d8eab5752efa3eb2c9cc006b3ea7ceb7,0.082935,true,true
s-04,canonical,1200,800,3ad2dcedb89d26f37cd6eb5a0372fd89b5a5866c9416bafdc1929f4f33d396af,0.094354,true,true
s-04,phone,360,240,f72bed5f2f7ff38e3d0a031fb7893123588262d18ef46c6d2740cf70c5e3dc78,0.123241,true,true
s-04,print,1800,1200,29da34dfb7727302e86ebfd0debf9d6d23014dda0a747da43d227cd3d5af953c,0.087984,true,true
s-05,canonical,1200,800,596c76e8acafcbfe55331153267251f8fe6c360de624012aab2153f22406ca75,0.169479,true,true
s-05,phone,360,240,ab11165f6513c72bed189d8b03a52aa9fabfbd4a26346ff3ae568f2bd70c67bc,0.193877,true,true
s-05,print,1800,1200,122fa2299c512da9a8bfaedaebefa9f417d5754667de6154ccb532d1bd4267d7,0.164782,true,true
s-06,canonical,1200,800,9a6ec99c88d721dd813f046772c2366e5c9ad8f587217911e31b16afb494cd67,0.137035,true,true
s-06,phone,360,240,c83310f081a50d031f6226079fcd0eee2836a7654101e15bd8640f2f283ed7dc,0.168056,true,true
s-06,print,1800,1200,0f9dd2c4af00b78eb85bf355e69402b60c25c080858ebf49a72cb6332933b202,0.131288,true,true
s-07,canonical,1200,800,8df5de94a50e61bcdd85f6b001c85939a3a7ae854ff4ce1a4b409c9fd702586d,0.106537,true,true
s-07,phone,360,240,55d8c4621ae68223b098c62e53170c52856c899ef34f76a7460b63289a828dbb,0.134792,true,true
s-07,print,1800,1200,aec48ed06579bd2ae7e3d42fee3be69d79e778b6ed79ce786369d3b8a4bf10f0,0.101569,true,true
s-08,canonical,1200,800,d4a65f9b766da58c950889f07a0cd8bd428868e86fa7abf496116e5892c27466,0.172474,true,true
s-08,phone,360,240,a68a8bf3d9e26c8b2ce0a01906e95a56e952e2a8facfdf761eabf659a3d53bc2,0.196343,true,true
s-08,print,1800,1200,330a20981e4a81c1da839952af6d044917e798415fe5c675259fccc91809d628,0.167577,true,true
